VEICULO,TIPO CHASSI,TIPO DE VEICULO,MODELO/TIPO,AMARELA,VERDE,DOURADA,CAPACIDADE TANQUE
10570,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
10571,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
10577,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
20499,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20502,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20503,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20504,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20545,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20546,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20547,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20549,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20550,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20551,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20552,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20553,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20554,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20555,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20558,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20559,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20560,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20561,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20573,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20574,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20575,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20576,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20577,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20578,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20579,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20580,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20581,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20582,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
20584,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20585,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20586,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20587,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20595,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20596,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20597,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20598,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20599,VOLVO B340 - ARTICULADO,ARTICULADO,VOLVO B340 - ARTICULADO,1.36,1.43,1.50,600
20600,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20601,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20606,VOLVO B270F - PADRON,PADRON,VOLVO B270F - PADRON,1.72,1.80,1.89,300
20682,VOLVO B270 F - CONVENCIONAL,CONVENCIONAL,VOLVO B270 F - CONVENCIONAL,1.99,2.09,2.19,300
